city,state,shape,date
Auburn,WA,triangle,2010-12-31
Eugene,OR,oval,2010-12-31
Temecula,CA,fireball,2010-12-31
Lewisburg,PA,fireball,2010-12-31
Leavenworth,WA,light,2010-12-31
Montgomery,PA,fireball,2010-12-31
Broomfield,CO,light,2010-12-09
Lincoln City,OR,light,2011-01-01
Leesburg,FL,other,2010-12-09
Kildare,TX,other,2010-12-09
Charlottesville,VA,chevron,2010-12-09
Newtown,CT,rectangle,2010-12-10
Richmond,VA,cylinder,2010-12-10
Richmond,VA,disk,2010-12-10
Roanoke,VA,disk,2010-12-10
Nashville,TN,disk,2010-12-10
Fair Grove,MO,other,2011-02-25
Bessemer City,NC,circle,2011-02-25
New Port Richey,FL,cigar,2011-02-25
Everett,WA,light,2011-02-25
Maryborough (Queensland) (Australia),NA,circle,2011-02-25
Bloomfield Hills,MI,disk,2011-02-25
Windsor,CO,unknown,2011-02-25
Mill Creek,WA,triangle,2011-02-25
Rolla,MO,triangle,2011-03-09
Laurel,MT,triangle,2011-03-10
San Diego,CA,light,2011-03-10
Lake Havasu City,AZ,disk,2011-03-10
Whitchurch (Buckinghamshire) (UK/England),NA,sphere,2011-03-10
Oak Lawn,IL,cigar,2011-03-10
Running Springs,CA,changing,2011-03-10
Avalon,CA,light,2011-03-10
Carmel,CA,light,2011-03-10
Winters,TX,oval,2011-03-10
Everett,WA,light,2011-03-10
Bellevue,WA,other,2010-11-03
Enumclaw,WA,rectangle,2010-11-03
Inglewood,CA,rectangle,2010-11-03
Muskogee,OK,cylinder,2010-11-03
Cedarville,CA,fireball,2010-11-03
Surprise,AZ,light,2010-11-03
Lake Havasu City,AZ,light,2010-11-03
Albany,OR,triangle,2010-11-03
Canby,OR,flash,2010-11-03
Gilbert,AZ,unknown,2010-11-03
Haltom City,TX,triangle,2011-03-24
Vancouver,WA,triangle,2011-03-24
LaPorte,IN,unknown,2011-03-24
Windsor,ON,other,2011-03-24
St. Gallen (Switzerland),NA,light,2011-03-24
Kelowna,BC,circle,2011-03-24
Holt,FL,disk,2011-03-24
Marana,AZ,light,2011-03-24
Kernersville,NC,light,2010-07-29
Arcadia,CA,light,2010-07-29
Rocklin,CA,circle,2010-07-29
Clinton Township,MI,light,2010-07-29
Easton,PA,circle,2010-07-29
Eugene,OR,sphere,2010-07-29
Enfield,CT,changing,2010-07-30
Paterson,NJ,other,2010-07-30
Reading,PA,changing,2010-07-30
Thousand Oaks,CA,light,2010-07-30
Baltimore,MD,sphere,2010-07-30
Stuart,FL,triangle,2011-04-24
L'Anse,MI,oval,2011-04-24
L'Anse,MI,formation,2011-04-24
Carpinteria,CA,disk,2011-04-25
Carpinteria,CA,disk,2011-04-25
Rockwall,TX,rectangle,2011-04-25
Stillwater,MN,sphere,2011-04-26
Pacoima,CA,disk,2011-04-26
Wilkes-Barre,PA,rectangle,2011-04-26
Seminole,FL,light,2011-01-01
Milmont Park,PA,triangle,2011-01-01
Salt Lake City,UT,formation,2011-01-01
Murrieta,CA,triangle,2011-01-01
Royce City,TX,oval,2011-01-01
Jackson,TN,cylinder,2011-01-01
Moreno Valley,CA,disk,2011-01-02
North Canton,OH,other,2011-01-02
Abbotsford,BC,fireball,2011-01-02
Boston (UK/England),NA,light,2011-01-03
Houston,TX,disk,2010-12-10
Boscobel,WI,circle,2010-12-10
Lafayette,CO,disk,2010-12-10
Clearwater,FL,fireball,2010-12-10
Port Huron,MI,light,2010-12-10
Honolulu,HI,flash,2010-12-10
Mandeville,LA,cigar,2010-12-10
Tamiami Trail,FL,other,2010-12-10
Newport,NJ,sphere,2010-12-11
Fort Pierce,FL,fireball,2010-12-11
temecula,CA,cone,2010-12-11
Oakland,CA,cylinder,2011-02-26
Travelers Rest,SC,unknown,2011-02-26
Gillam,MB,rectangle,2011-02-26
Graham,NC,light,2011-02-26
Florida Keys,NA,circle,2011-02-26
Munich,NA,light,2011-02-26
Gonzales,LA,teardrop,2011-02-26
Doncaster (UK/England),NA,formation,2011-02-26
Valrico,FL,fireball,2011-02-26
Pacific Grove,CA,light,2011-02-26
Ellington,CT,cylinder,2011-02-27
Gilroy,CA,diamond,2011-03-10
Los Angeles,CA,teardrop,2011-03-11
Baraboo,WI,unknown,2011-03-11
Orland,CA,triangle,2011-03-11
North Windham,CT,teardrop,2011-03-11
Appleton,WI,NA,2011-03-11
Japan,NA,teardrop,2011-03-11
West Palm Beach,FL,light,2011-03-11
Mesa,AZ,triangle,2011-03-11
North Platte,NE,disk,2011-03-11
Toms River,NJ,formation,2011-03-11
Billings-Lockwood,MT,disk,2010-11-04
Las Vegas,NV,oval,2010-11-04
Sioux City,IA,light,2010-11-04
Saint Charles,MO,other,2010-11-04
Upland,CA,sphere,2010-11-04
San Diego,CA,sphere,2010-11-04
Venice,CA,sphere,2010-11-04
Chicago,IL,triangle,2010-11-04
Williamsport,MD,diamond,2010-11-04
Terlingua,TX,fireball,2010-11-04
Port Orange,FL,circle,2011-03-25
Hollywood,FL,oval,2011-03-25
Atlantic City,NJ,oval,2011-03-25
Holladay,UT,disk,2011-03-25
Chesapeake,VA,circle,2011-03-25
Egg Harbor Township,NJ,unknown,2011-03-25
Naples,FL,rectangle,2011-03-25
Stratford,CT,triangle,2011-03-26
Punta Mita (Mexico),NA,formation,2011-03-26
Dunnellon,FL,unknown,2011-03-26
UK/Scotland,NA,light,2010-07-30
Cutler,CA,fireball,2010-07-30
Los Angeles,CA,circle,2010-07-31
Wichita,KS,diamond,2010-07-31
Albuquerque,NM,cigar,2010-07-31
San Antonio,TX,chevron,2010-07-31
Detroit,MI,other,2010-07-31
Oregon House,CA,light,2010-07-31
Cookstown,ON,light,2010-07-31
Coventry (UK/England),NA,NA,2010-07-31
Weston,FL,sphere,2011-04-26
Rockland,NY,light,2011-04-26
Screven,GA,fireball,2011-04-26
San Jose,CA,light,2011-04-26
Fairhaven,MA,NA,2011-04-27
Warsaw (Poland),NA,formation,2011-04-27
Flint,MI,light,2011-04-27
Aledo,IL,sphere,2011-04-28
Liverpool (Kirkdale) (UK/England),NA,disk,2011-04-28
Cabot,PA,sphere,2011-04-28
Checotah,OK,diamond,2011-01-03
Fairless Hills,PA,unknown,2011-01-03
Sand Springs,OK,circle,2011-01-04
Chesapeake Bay,MD,other,2011-01-04
Woodward,IA,fireball,2011-01-04
Topeka,KS,oval,2011-01-04
Guymon,OK,circle,2011-01-05
Corpus Christi,TX,light,2011-01-05
Edinburg,PA,fireball,2011-01-06
Penn Yan,NY,flash,2011-01-06
Newark,NJ,other,2010-12-11
Springfield,NH,triangle,2010-12-11
Jensen Beach,FL,light,2010-12-11
Albuquerque,NM,oval,2010-12-11
San Fernando Valley,CA,sphere,2010-12-11
Coral Springs,FL,light,2010-12-11
Pinkham Notch,NH,fireball,2010-12-11
Lake Balboa,CA,sphere,2010-12-12
Bradenton,FL,other,2010-12-12
Orlando,FL,circle,2010-12-12
Bozeman,MT,light,2011-02-27
Santa Rosa,CA,sphere,2011-02-27
Sumter,SC,light,2011-02-28
Fresno,CA,oval,2011-02-28
Imperial Beach,CA,oval,2011-02-28
Paso Robles,CA,sphere,2011-02-28
West Covina,CA,disk,2011-02-28
Round Rock,TX,other,2011-02-28
Lacey Township,NJ,oval,2011-03-11
Colleyville,TX,cone,2011-03-11
Tomball,TX,light,2011-03-11
Comfort,TX,triangle,2011-03-11
Owings Mills,MD,light,2011-03-11
Englewood,FL,disk,2011-03-12
Stow area,MA,other,2011-03-12
Heerenveen (Netherlands),NA,formation,2011-03-12
Kenner,LA,light,2011-03-12
Johannesburg (South Africa),NA,oval,2010-11-04
Richmond,CA,diamond,2010-11-04
Reno,NV,formation,2010-11-04
Leavenworth,KS,light,2010-11-05
Leavenworth,KS,light,2010-11-05
Leavenworth,KS,teardrop,2010-11-05
Longmont,CO,chevron,2010-11-05
Stone Mountain,GA,NA,2010-11-05
Acojeja (Tenerife) (Spain),NA,triangle,2010-11-05
Sullivan,IL,disk,2010-11-05
Billings,MT,other,2011-03-26
Pretoria (South Africa),NA,unknown,2011-03-26
Jacksonville,FL,fireball,2011-03-26
Seward,AK,light,2011-03-26
San Diego,CA,unknown,2011-03-26
Mullica Township,NJ,light,2011-03-26
Morrisville,PA,other,2011-03-26
Modesto,CA,disk,2011-03-26
Guatemala,NA,flash,2011-03-27
Greenfield,MO,unknown,2011-03-27
Hanover,ON,sphere,2010-07-31
Riverside,CA,light,2010-07-31
Waukon,IA,unknown,2010-07-31
Tarrytown,NY,circle,2010-07-31
New Port Richey,FL,teardrop,2010-07-31
Coalinga,CA,unknown,2010-07-31
Sacramento,CA,oval,2010-07-31
Portland,OR,fireball,2010-07-31
Ocean City,MD,circle,2010-07-31
"Stanmore, Winchester (UK/England)",NA,light,2010-07-31
Harristown,IL,fireball,2010-07-31
Colorado Springs,CO,light,2011-04-28
Cannon Falls,MN,light,2011-04-28
Hialeah,FL,fireball,2011-04-29
Los Angeles,CA,circle,2011-04-28
Emporia,KS,unknown,2011-04-29
San Jose,CA,fireball,2011-04-29
Midway,GA,diamond,2011-04-29
Marianna,FL,fireball,2011-04-29
Alamo,TN,formation,2011-04-29
Apex,NC,triangle,2011-04-29
Altamonte Springs,FL,fireball,2011-04-29
Gainesville,FL,rectangle,2011-04-29
Broken Arrow,OK,cylinder,2011-01-06
Eugene,OR,triangle,2011-01-06
Warrenton,NC,chevron,2011-01-06
Iowa City,IA,triangle,2011-01-06
Wildomar,CA,fireball,2011-01-06
Wildomar,CA,fireball,2011-01-06
Wildomar,CA,fireball,2011-01-06
Murrieta,CA,triangle,2011-01-06
Wildomar,CA,fireball,2011-01-06
Fred,TX,unknown,2011-01-06
Murrieta,CA,triangle,2011-01-06
Villa Park,IL,fireball,2010-12-13
Vashon,WA,flash,2010-12-13
Fruitland,NM,disk,2010-12-13
Los Angeles,CA,changing,2010-12-13
Gillette,WY,fireball,2010-12-13
Tucson,AZ,light,2010-12-13
San Tan Valley,AZ,sphere,2010-12-13
Salaya (Thailand),NA,light,2010-12-13
Hixson,TN,light,2010-12-13
Eufaula,AL,light,2010-12-13
Lexington,SC,light,2011-02-28
Flower Mound,TX,formation,2011-02-28
Denver,CO,light,2011-02-28
Ridgecrest,CA,sphere,2011-02-28
Cornell,MI,light,2011-02-28
Reading,PA,sphere,2011-03-01
Reading,PA,sphere,2011-03-01
Bemidji,MN,triangle,2011-03-01
Orlando,FL,unknown,2011-03-01
Youngsville,LA,unknown,2011-03-01
Lake Texoma,TX,circle,2011-03-12
Mount Vernon,TX,oval,2011-03-12
Henrico,VA,changing,2011-03-13
Atlanta,GA,unknown,2011-03-13
Yokohama (Japan),NA,light,2011-03-13
Four Oaks,NC,triangle,2011-03-13
Visalia,CA,light,2011-03-13
Tehran (Iran),NA,light,2011-03-13
Plymouth (UK/England),NA,circle,2011-03-13
Oxnard,CA,fireball,2010-11-05
Port Hueneme,CA,fireball,2010-11-05
Thousand Oaks,CA,oval,2010-11-05
Nebo,NC,light,2010-11-05
Groton,CT,triangle,2010-11-05
Jackson,CA,oval,2010-11-05
Visalia,CA,triangle,2010-11-06
Leavenworth,KS,sphere,2010-11-06
Leavenworth,KS,light,2010-11-06
Moss Bluff,LA,fireball,2011-03-27
Ann Arbor,MI,triangle,2011-03-27
Traverse City,MI,sphere,2011-03-28
Wayne,MI,formation,2011-03-28
Pembroke Pines,FL,disk,2011-03-28
Prescott,AZ,diamond,2011-03-28
Reading,PA,NA,2011-03-28
Smyrna,TN,unknown,2011-03-28
Chicago,IL,fireball,2010-07-31
Munich (Germany),NA,light,2010-08-01
Brandon,SD,fireball,2010-08-01
South Elgin,IL,light,2010-08-01
Hickam AFB,HI,triangle,2010-08-01
Long Beach,CA,light,2010-08-01
Whittier,CA,disk,2010-08-01
South Elgin,IL,sphere,2010-08-01
Sandwich,MA,circle,2010-08-01
Savannah,GA,cone,2011-04-29
Starkville,MS,circle,2011-04-29
Dearborn Heights,MI,other,2011-04-29
Saint Charles,MO,triangle,2011-04-29
Santa Fe,NM,light,2011-04-30
Portland,OR,other,2011-04-30
Grandview,WA,other,2011-04-30
Las Vegas,NV,unknown,2011-04-30
Nashville,TN,fireball,2011-04-30
Nashville,TN,fireball,2011-04-30
Menifee,CA,fireball,2011-01-06
Murrieta,CA,fireball,2011-01-06
Lake Elsinore,CA,disk,2011-01-06
Murrieta,CA,fireball,2011-01-06
Temecula,CA,fireball,2011-01-06
Greer,SC,fireball,2011-01-07
Bremen,GA,other,2011-01-07
Toronto,ON,light,2011-01-07
Rosenberg,TX,other,2011-01-07
MilanÃ³wek (Poland),NA,NA,2011-01-07
Edinburg,TX,oval,2011-01-08
Hudson,FL,cone,2010-12-14
Peoria,AZ,light,2010-12-14
Kalaloch area,WA,disk,2010-12-14
Lincoln,NA,light,2010-12-14
Troy,NC,sphere,2010-12-14
London (UK/England),NA,light,2010-12-14
Addison,IL,light,2010-12-14
Bailey Island,ME,flash,2010-12-15
New York,NY,circle,2010-12-15
Uplyme (UK/England),NA,circle,2010-12-15
Opelousas,LA,chevron,2010-12-15
Kimmell,IN,unknown,2010-12-15
Cohoes,NY,triangle,2011-03-01
San Bernardino,CA,disk,2011-03-01
New York,NY,other,2011-03-01
Conshohocken,PA,other,2011-03-01
Arizona,AZ,formation,2011-03-01
Waterbury,CT,unknown,2011-03-01
Wallingford and Cheshire,CT,triangle,2011-03-01
Murfreesboro,TN,light,2011-03-02
Bloomington,IN,light,2011-03-02
San Diego,CA,light,2011-03-02
Tsaile,AZ,oval,2011-03-02
Plattekill,NY,triangle,2011-03-13
Aspen,CO,fireball,2011-03-13
San Antonio,TX,oval,2011-03-13
Union City,CA,flash,2011-03-14
Alhambra,CA,fireball,2011-03-14
Lincoln National Forest,NM,oval,2011-03-14
Lake Havasu City,AZ,other,2011-03-14
Des Moines,IA,other,2011-03-14
Hooper Bay,AK,unknown,2011-03-15
Ruthven,IA,circle,2011-03-15
Dillon,CO,fireball,2011-03-15
Arkport,NY,light,2010-11-06
Marceline,MO,light,2010-11-06
Riverton,MB,circle,2010-11-06
Kiawah Island,SC,oval,2010-11-06
Hermosa Beach,CA,changing,2010-11-06
Corona del Mar,CA,light,2010-11-06
Allison Park,PA,circle,2010-11-07
Canajoharie,NY,flash,2010-11-07
Big Lake Township,MN,triangle,2010-11-07
Walterboro,SC,light,2010-11-07
Sacramento,CA,NA,2011-03-28
Nashville,TN,disk,2011-03-28
La Jolla,CA,triangle,2011-03-29
Toronto,ON,light,2011-03-29
Rancho Cucamonga,CA,circle,2011-03-29
Virginia Beach,VA,oval,2011-03-29
Myrtle Beach,SC,light,2011-03-29
Oakdale,NY,circle,2011-03-29
Baltimore,MD,circle,2011-03-29
Fond du Lac,WI,triangle,2011-03-29
Woodhull,IL,light,2010-08-01
Laurie,MO,sphere,2010-08-01
Niagara Falls,ON,oval,2010-08-01
Lacombe,AB,flash,2010-08-02
San Antonio,TX,changing,2010-08-02
Lake Elsinore,CA,cigar,2010-08-02
Fairless Hills,PA,triangle,2010-08-02
Cedar Point,NC,light,2010-08-02
Springfield,MO,flash,2010-08-02
Hanover,PA,unknown,2010-08-03
Phoenix,AZ,fireball,2010-08-03
Saegertown,PA,light,2011-04-30
Saegertown,PA,NA,2011-04-30
Nampa,ID,chevron,2011-04-30
Miami,FL,unknown,2011-04-30
Springdfield,OR,light,2011-04-30
Seattle,WA,formation,2011-04-30
Dearborn,MI,circle,2011-05-01
Pocatello,ID,light,2011-05-01
Richmond,VA,formation,2011-05-01
San Jose,CA,sphere,2011-05-01
Glenns Ferry,ID,light,2011-01-08
Cape Coral,FL,cone,2011-01-08
Juneau,AK,light,2011-01-08
Cape Coral,FL,changing,2011-01-08
Nottingham,MD,formation,2011-01-08
Highlands,NC,fireball,2011-01-08
Terrebonne,OR,circle,2011-01-09
Wilson,NC,circle,2011-01-09
Mount Vernon,WA,flash,2011-01-09
Brentwood,CA,light,2011-01-09
Valencia (Spain),NA,circle,2010-12-15
Campbell,CA,triangle,2010-12-15
Dimona (Israel),NA,NA,2010-12-16
Sparks,NV,disk,2010-12-16
Anchorage,AK,circle,2010-12-16
Bend,OR,light,2010-12-16
San Jose,CA,oval,2010-12-16
Draper,UT,circle,2010-12-16
Coleman,TX,circle,2010-12-16
Airmont,NY,light,2010-12-16
Globe,AZ,sphere,2011-03-02
Escondido,CA,changing,2011-03-02
Lisle,IL,fireball,2011-03-02
Chantilly,VA,light,2011-03-02
Katy,TX,cross,2011-03-02
Coleman,TX,oval,2011-03-02
Lockport,IL,sphere,2011-03-02
San Marcos,TX,chevron,2011-03-02
Irvine,CA,other,2011-03-02
Delhi (India),NA,chevron,2011-03-15
Canoga Park,CA,diamond,2011-03-16
Downey,CA,disk,2011-03-16
Wayland,MI,oval,2011-03-16
Chamberlain,SD,light,2011-03-16
Louisville,KY,light,2011-03-16
Salinas,CA,chevron,2011-03-16
Dahlonega,GA,diamond,2011-03-17
Lawton,OK,light,2011-03-17
Fort Worth,TX,other,2010-11-07
Gastonia,NC,triangle,2010-11-07
Lexington,KY,light,2010-11-07
Haledon,NJ,other,2010-11-07
Calgary,AB,oval,2010-11-07
Tunica,MS,light,2010-11-07
Ashgrove,MO,unknown,2010-11-07
Darwin (Australia),NA,unknown,2010-11-08
Omaha,NE,NA,2010-11-08
Ocean Isle Beach,NC,light,2011-03-29
Halifax,NS,light,2011-03-29
Yucaipa,CA,triangle,2011-03-29
Floyd,IA,disk,2011-03-30
London (UK/England),NA,NA,2011-03-30
Benson,AZ,fireball,2011-03-30
Chico,CA,triangle,2011-03-30
Ann Arbor,MI,light,2011-03-30
Bloomington,IL,disk,2011-03-31
Las Vegas,NV,unknown,2011-03-31
Kingman,AZ,NA,NA
Oxford,IN,other,1970-06-15
Clearfield,PA,light,1973-06-08
Salida,CO,disk,1974-07-22
Long Beach,CA,fireball,2010-08-03
Boston,MA,changing,2010-08-03
Toronto,ON,circle,2010-08-03
Osage Beach,MO,fireball,2010-08-03
Erin,TN,circle,2010-08-03
Silver City,NM,light,2010-08-03
Naval weapons base Fallbrook,CA,oval,2010-08-03
Terre haute outskirts,IN,formation,2010-08-03
Royal Palm Beach,FL,unknown,2010-08-03
Grand Haven,MI,light,2010-08-03
Albuquerque,NM,unknown,2010-08-03
Columbia,MO,fireball,2011-05-01
Little Rock,AR,circle,2011-01-09
O'Neals,CA,light,2011-01-10
Kinsman,IL,rectangle,2011-01-10
Mira Mesa,CA,cylinder,2011-01-10
Sydney (Australia),NA,light,2011-01-10
Erie,PA,cigar,2011-01-10
Madison,WI,oval,2011-01-10
Ottersberg (Germany),NA,triangle,2011-01-10
Port Clinton,OH,triangle,2011-01-10
Waxhaw,NC,NA,2011-01-11
Eugene,OR,light,2010-12-16
Hamriya Town (UAE),NA,cylinder,2010-12-17
Valencia,CA,unknown,2010-12-17
Rio Rico,AZ,circle,2010-12-17
Janakpuri (New Delhi) (India),NA,cigar,2010-12-17
Buffalo,WY,disk,2010-12-17
Allen,MI,circle,2010-12-17
Bogata,TX,disk,2010-12-18
Fords,NJ,light,2010-12-18
Norfolk,VA,oval,2010-12-18
Gloucester,VA,triangle,2011-03-03
Sedona,AZ,triangle,2011-03-03
Bluffton,IN,sphere,2011-03-03
West Hartford,CT,oval,2011-03-03
Honea Path,SC,light,2011-03-03
Fishers,IN,sphere,2011-03-03
North Dartmouth,MA,light,2011-03-03
Rising Sun,MD,light,2011-03-03
Fort Bragg,CA,triangle,2011-03-03
Bristol,VA,diamond,2011-03-17
Airdrie,AB,formation,2011-03-17
Machesney Park,IL,light,2011-03-17
Raleigh,NC,light,2011-03-17
Beverly,WA,rectangle,2011-03-18
Fredericksburg,VA,triangle,2011-03-18
Glendale,AZ,fireball,2011-03-18
Surprise,AZ,fireball,2011-03-18
Litchfield Park,AZ,circle,2011-03-18
Huntington Beach,CA,disk,2010-11-08
Joliet,IL,sphere,2010-11-08
Alachua,FL,cross,2010-11-08
Indianapolis,IN,disk,2010-11-08
Glendale,CA,light,2010-11-08
Warrensburg,MO,rectangle,2010-11-08
"Blue Ridge Pkwy, NC",NC,light,2010-11-08
Asheville,NC,light,2010-11-08
((unspecified location)),NA,NA,2010-11-08
Arizona City,AZ,changing,2011-03-31
Sedona,AZ,circle,2011-03-31
Russellville,AR,triangle,2011-03-31
New Berlin,WI,other,2011-04-01
Melbourne,FL,oval,2011-04-01
Wichita,KS,egg,2011-04-01
Natomas,CA,light,2011-04-01
Homer Glen,IL,light,2011-04-01
Cheyenne,WY,light,2011-04-01
Conway,AR,other,2011-04-01
Fort Myers,FL,unknown,2011-04-01
Lopez Island,WA,circle,1975-08-01
Everett,WA,NA,1976-06-02
Canon City,CO,oval,1976-09-01
Meriden,CT,oval,1977-06-01
Gig Harbor,WA,circle,1979-10-15
Stratford,NJ,sphere,1985-06-01
Shelton,WA,circle,1986-06-25
Ocala,FL,rectangle,1986-12-01
Wasilla,AK,disk,1988-04-15
Tacoma,WA,circle,1988-10-15
Minot,ND,NA,1996-01-23
Holly,MI,triangle,1997-06-09
Davis,CA,other,2010-08-04
Palisade,NE,light,2010-08-04
Edmonton,AB,formation,2010-08-04
Raleigh,NC,cone,2010-08-04
Glen Rose,TX,circle,2010-08-04
Tampa,FL,other,2010-08-04
Pa'akai Point- Mamalahoha Hwy,HI,triangle,2010-08-04
Columbus,WI,light,2010-08-04
Melbourne,FL,light,2010-08-04
Greensburg,IN,triangle,2010-08-04
Provo,UT,disk,2010-08-04
Ajax,ON,unknown,2010-08-04
Garden Grove,CA,unknown,2011-01-11
Downingtown,PA,fireball,2011-01-11
Delray Beach,FL,triangle,2011-01-11
College Park,GA,other,2011-01-11
Buffalo area,NY,unknown,2011-01-11
Buffalo area,NY,unknown,2011-01-11
Springfield,VT,triangle,2011-01-11
Brandon,MS,flash,2011-01-11
Pearl,MS,light,2011-01-11
Vicksburg,MS,fireball,2011-01-11
London (UK/England),NA,circle,2011-01-11
Centre Hall,PA,changing,2011-01-11
San Francisco,CA,fireball,2010-12-18
Longwood,FL,light,2010-12-18
Oakland Park,FL,disk,2010-12-18
Sharjah,NA,light,2010-12-18
New York,NY,light,2010-12-19
Joelton,TN,light,2010-12-19
North Falmouth,MA,fireball,2010-12-19
Venice,LA,light,2010-12-19
Kahului,HI,disk,2010-12-19
Independence,MO,circle,2010-12-20
Kahului,HI,disk,2010-12-20
Newark,NJ,light,2010-12-20
Colmar Manor,MD,NA,NA
Crawford,CO,fireball,1981-06-15
Alvordon,OH,light,1985-06-30
Casa Grande,AZ,circle,1997-03-13
Dunns Mills,NJ,disk,1998-11-18
Scarborough,ON,light,2003-08-29
Blanchester,OH,NA,2011-03-03
Blue Ridge,GA,disk,2011-03-03
Elyria,OH,triangle,2011-03-04
Seminole,OK,oval,2011-03-04
Littlerock,CA,unknown,2011-03-04
Raleigh,NC,other,2011-03-04
New York,NY,unknown,2011-03-04
New York,NY,circle,2011-03-04
Space (NASA broadcast),NA,sphere,2011-03-04
Manteno,IL,fireball,2011-03-04
Kuching (Malaysia),NA,changing,2011-03-04
George Town (Australia),NA,circle,2011-03-18
Walhalla,SC,triangle,2011-03-18
Cabo San Lucas (Mexico),NA,unknown,2011-03-18
Glen St. Mary,FL,teardrop,2011-03-19
Ewing,NJ,oval,2011-03-19
Belen,NM,unknown,2011-03-19
Taylors,SC,circle,2011-03-19
Elkhart,IN,fireball,2011-03-19
San Jose,CA,other,2011-03-19
Lake Worth,FL,changing,2011-03-19
Fontana,CA,fireball,2010-11-08
Silver Creek,NE,light,2010-11-08
Palmdale,CA,diamond,2010-11-08
Fond du Lac,WI,other,2010-11-08
Muncie,IN,light,2010-11-08
Oxford,KS,sphere,2010-11-09
Front Royal,VA,oval,2010-11-09
Front Royal,VA,fireball,2010-11-09
Amarillo,TX,cross,2010-11-09
Lexington,KY,unknown,2010-11-09
Krum,TX,triangle,2010-11-09
Adrian,MN,triangle,2011-04-01
Escondido,CA,light,2011-04-02
Sedona,AZ,light,2011-04-02
Springville,NY,unknown,2011-04-02
Campbell River,BC,circle,2011-04-02
Rocky Mount,MO,NA,2011-04-02
Wichita Falls,TX,cylinder,2011-04-02
Nokomis,FL,other,2011-04-02
Franklin Square,NY,triangle,2011-04-02
Renfrew,ON,cone,2011-04-02
UK/England (city unspecified),NA,light,2011-04-02
La Marsa (Tunisia),NA,formation,2011-04-02
Muskegon,MI,other,1998-04-20
At Taif (Saudi Arabia),NA,oval,2007-07-29
Cle Elum,WA,circle,2008-07-02
Tooele,UT,other,2009-08-07
Helsinki (Finland),NA,other,2010-01-21
Kingman,AZ,circle,2010-04-15
Fruitland,ID,triangle,2010-05-01
Hounslow (UK/England),NA,cylinder,2010-05-11
Nanaimo,BC,light,2010-09-06
Spokane Valley,WA,triangle,2010-09-30
Littleton,CO,triangle,2010-10-12
Oklahoma City,OK,light,2010-11-20
"Claremorris, Co. Mayo, Ireland",NA,light,2010-08-04
Cincinnati,OH,NA,2010-08-04
Dublin,IN,sphere,2010-08-04
Walters,OK,other,2010-08-05
Perris,CA,fireball,2010-08-05
Broken Arrow,OK,light,2010-08-05
San Jose,CA,other,2010-08-05
San Jose,CA,light,2010-08-05
Key Largo,FL,other,2010-08-05
White Swan,WA,light,2010-08-05
Falkirk (UK/Scotland),NA,circle,2010-08-05
Tacoma,WA,circle,2011-01-12
Winter Springs,FL,rectangle,2011-01-12
Crow Agency,MT,light,2011-01-12
San Jose,CA,fireball,2011-01-12
Smithfield,VA,sphere,2011-01-12
Onamia,MN,flash,2011-01-12
Hutchinson,MN,light,2011-01-12
Cleveland,OH,flash,2011-01-12
Mobile,AL,flash,2011-01-12
Hampstead,NH,circle,2011-01-13
Victoria,BC,light,2010-12-20
Bay Point,CA,oval,2010-12-21
Exeter,NE,sphere,2010-12-21
St Louis,MO,changing,2010-12-21
Sedona,AZ,cone,2010-12-21
Paterson,NJ,oval,2010-12-21
Jeffersonville,PA,oval,2010-12-21
Niagara Falls,ON,NA,2010-12-21
Erwinna,PA,light,2010-12-21
Christchurch (New Zealand),NA,disk,2010-12-21
Scarborough,ON,light,2003-08-29
Reading,PA,light,2006-09-04
Virginia Beach,VA,formation,2008-01-05
Tacoma,WA,circle,2009-03-20
Tacoma,WA,circle,2009-03-20
Bhopal,TX,rectangle,2009-05-15
Eldora,IA,rectangle,2009-08-15
Yuma,AZ,light,2009-08-18
Elkton,MD,flash,2011-03-04
Rochester,NY,light,2010-02-22
Bolivar,MO,formation,2010-06-01
Downey,CA,diamond,2011-03-05
North Atlantic (inflight sighting),NA,flash,2011-03-05
Islamorada,FL,light,2011-03-05
Missoula,MT,teardrop,2011-03-05
Charlotte Amalie (U. S. Virgin Islands),NA,fireball,2011-03-05
Delmar,MD,circle,2011-03-05
Rockport,TX,disk,2011-03-05
Hockley,TX,unknown,2011-03-19
Concord,NH,light,2011-03-20
Portland,OR,formation,2011-03-20
Chicago,IL,cigar,2011-03-20
Elliottsburg,PA,triangle,2011-03-20
Lafayette,CO,light,2011-03-20
Broomfield,CO,light,2011-03-20
Lafayette,CO,light,2011-03-20
Sylvania,OH,light,2011-03-20
Lafayette,CO,formation,2011-03-20
Houston,TX,triangle,2010-11-09
Damascus,VA,triangle,2010-11-09
Fort Myers,FL,light,2010-11-09
Hugo,OK,rectangle,2010-11-09
Navarre,FL,fireball,2010-11-09
Montrose,CA,other,2010-11-09
Boston,NY,flash,2010-11-10
Boston,MA,changing,2010-11-10
Kahului,HI,oval,2010-11-10
Atwater,CA,light,2010-11-10
Henderson,NV,oval,2011-04-03
Sharpsburg,GA,changing,2010-11-21
Tulsa,OK,cigar,2010-12-10
Salt Lake City,UT,light,2010-12-14
Reno,NV,light,2010-12-24
Los Angeles,CA,other,2010-12-27
Napa,CA,circle,2010-12-30
Gila Bend,AZ,formation,2011-01-26
