city,state,shape,date
Los Angeles,CA,circle,1995-06-01
Ravenna,OH,triangle,1995-06-01
Los Angeles,CA,formation,1995-06-01
Ravenna,OH,unknown,1995-07-08
Glasgow (UK/Scotland),NA,circle,1996-02-15
Haslemere (UK/England),NA,teardrop,1995-08-25
Perth (Australia),NA,triangle,1996-04-15
Kevil,KY,circle,2019-03-15
NA,NA,NA,NA
Joplin,MO,unknown,2009-03-20
LapuLapu (Philippines),NA,other,NA
Conway,AR,sphere,1985-06-20
Puyallup,WA,cylinder,1986-11-03
Rialto,CA,sphere,1987-05-22
Minneapolis,MN,light,1987-05-22
Otisville,MI,unknown,2000-05-10
Purvis,MS,flash,2008-09-01
Beaverton,OR,disk,2015-04-16
Shelby Twp,MI,sphere,2012-10-04
Penticton,BC,light,2017-10-25
Champaign,IL,circle,2017-11-15
Walkerton,VA,triangle,2018-02-21
Livingston,TX,light,2018-04-15
Bradford,IA,unknown,2018-07-14
Baltimore,MD,other,2018-09-22
Bassano del Grappa (Italy),NA,disk,2018-12-05
Addis Ababa (Ethiopia),NA,flash,2019-02-03
Spring Hill,FL,other,2019-02-17
Lafayette,LA,disk,2019-02-20
Clementon,NJ,egg,2019-02-22
Hamilton,MT,triangle,2019-03-07
Concord,NH,NA,2019-03-12
Concord,NH,NA,2019-03-13
Niland,CA,triangle,2019-03-14
Harrison,NJ,NA,2019-03-14
River Vale,NA,NA,2019-03-14
Concord,NH,NA,2019-03-14
Tucson,AZ,other,2019-03-14
Vero Beach,FL,formation,2019-03-14
Micco,FL,formation,2019-03-14
Port Saint Lucie,FL,light,2019-03-14
Atlanta,TX,other,2019-03-14
Bloomfield Twp.,MI,triangle,2019-03-15
East Helena,MT,cone,2019-03-15
The Woodlands,TX,circle,2019-03-15
Fresno,CA,cigar,2019-03-15
Champions Gate,FL,circle,2019-03-15
Nicosia,NA,light,2019-03-15
Richton Park,IL,sphere,2019-03-15
Mc Alpin,FL,sphere,2019-03-15
Kissimmee,FL,fireball,2019-03-15
"Near Virgin, UT",UT,changing,2019-03-15
Monroe,GA,triangle,2019-03-15
Jenison,MI,circle,2019-03-15
Fort Lauderdale,FL,light,2019-03-15
Voorheesville,NY,disk,2019-03-15
hernando,MS,circle,2019-03-15
LaPorte,IN,circle,2019-03-16
NEW PRAGUE,MN,light,2019-03-16
Green Bay,WI,flash,2019-03-16
Batavia,IL,cigar,2019-03-16
Davenport,IA,circle,2019-03-16
Frisco,TX,triangle,2019-03-16
Las Vegas,NV,unknown,2019-03-16
Independence,MO,chevron,2019-03-16
Manahawkin,NJ,triangle,2019-03-16
Peoria,AZ,light,2019-03-16
Virginia Beach,VA,circle,2019-03-16
Virginia Beach,VA,circle,2019-03-16
Cranston,RI,sphere,2019-03-16
Boylston,MA,diamond,2019-03-16
Flint,TX,fireball,2019-03-16
Atkinson,NH,other,2019-03-16
Lawrenceville,IL,diamond,2019-03-16
Sabdy Springs,GA,triangle,2019-03-16
Tigard,OR,changing,2019-03-17
Northbrook,IL,NA,2019-03-17
Seattle,WA,oval,2019-03-17
Emmett,ID,other,2019-03-17
Ethridge,TN,changing,2019-03-17
West College Corner,IN,sphere,2019-03-17
Goffstown,NH,NA,2019-03-17
Carson City,NV,oval,2019-03-17
Donnybrook,NA,unknown,2019-03-17
Newington,CT,NA,2019-03-17
Concord,NH,NA,2019-03-17
Philadelphia,PA,triangle,2019-03-18
